id,ride_style,speed,poster,staff,time,is_female,is_staff,is_raining,day,week,total_passenger,total_passenger_per_minute
461,rw,0,0,0,45,1,0,0,Tue,1,334,29
462,ls,0,0,0,45,1,0,0,Tue,1,334,29
463,ls,0,0,0,45,1,0,0,Tue,1,334,29
464,ls,0,0,0,45,1,0,0,Tue,1,334,29
465,ls,0,0,0,45,1,0,0,Tue,1,334,29
466,ls,0,0,0,45,1,0,0,Tue,1,334,29
467,ls,0,0,0,45,1,0,0,Tue,1,334,29
468,ls,0,0,0,45,1,0,0,Tue,1,334,29
469,ls,0,0,0,45,1,0,0,Tue,1,334,29
470,ls,0,0,0,45,1,0,0,Tue,1,334,29
471,ls,0,0,0,45,1,0,0,Tue,1,334,29
472,ls,0,0,0,46,1,0,0,Tue,1,334,27
473,rw,0,0,0,46,1,0,0,Tue,1,334,27
